Categorie,Image_ID,Attaque_Complete,Type_Attaque,Intensite,Param_hash_size,Algorithme,Distance_Hamming,Similarite_Pct
faces,0,Original,Original,0,4,aHash,0,100.0
faces,0,Original,Original,0,4,dHash,0,100.0
faces,0,Original,Original,0,6,aHash,0,100.0
faces,0,Original,Original,0,6,dHash,0,100.0
faces,0,Original,Original,0,8,aHash,0,100.0
faces,0,Original,Original,0,8,dHash,0,100.0
faces,0,Original,Original,0,12,aHash,0,100.0
faces,0,Original,Original,0,12,dHash,0,100.0
faces,0,Original,Original,0,16,aHash,0,100.0
faces,0,Original,Original,0,16,dHash,0,100.0
faces,0,Original,Original,0,24,aHash,0,100.0
faces,0,Original,Original,0,24,dHash,0,100.0
faces,0,Original,Original,0,32,aHash,0,100.0
faces,0,Original,Original,0,32,dHash,0,100.0
faces,0,Compression_90,Compression,90,4,aHash,0,100.0
faces,0,Compression_90,Compression,90,4,dHash,0,100.0
faces,0,Compression_90,Compression,90,6,aHash,0,100.0
faces,0,Compression_90,Compression,90,6,dHash,0,100.0
faces,0,Compression_90,Compression,90,8,aHash,0,100.0
faces,0,Compression_90,Compression,90,8,dHash,0,100.0
faces,0,Compression_90,Compression,90,12,aHash,0,100.0
faces,0,Compression_90,Compression,90,12,dHash,0,100.0
faces,0,Compression_90,Compression,90,16,aHash,1,99.609375
faces,0,Compression_90,Compression,90,16,dHash,2,99.21875
faces,0,Compression_90,Compression,90,24,aHash,0,100.0
faces,0,Compression_90,Compression,90,24,dHash,3,99.47916666666667
faces,0,Compression_90,Compression,90,32,aHash,2,99.8046875
faces,0,Compression_90,Compression,90,32,dHash,10,99.0234375
faces,0,Compression_75,Compression,75,4,aHash,0,100.0
faces,0,Compression_75,Compression,75,4,dHash,0,100.0
faces,0,Compression_75,Compression,75,6,aHash,0,100.0
faces,0,Compression_75,Compression,75,6,dHash,0,100.0
faces,0,Compression_75,Compression,75,8,aHash,0,100.0
faces,0,Compression_75,Compression,75,8,dHash,0,100.0
faces,0,Compression_75,Compression,75,12,aHash,0,100.0
faces,0,Compression_75,Compression,75,12,dHash,1,99.30555555555556
faces,0,Compression_75,Compression,75,16,aHash,0,100.0
faces,0,Compression_75,Compression,75,16,dHash,2,99.21875
faces,0,Compression_75,Compression,75,24,aHash,0,100.0
faces,0,Compression_75,Compression,75,24,dHash,4,99.30555555555556
faces,0,Compression_75,Compression,75,32,aHash,0,100.0
faces,0,Compression_75,Compression,75,32,dHash,14,98.6328125
faces,0,Compression_50,Compression,50,4,aHash,0,100.0
faces,0,Compression_50,Compression,50,4,dHash,0,100.0
faces,0,Compression_50,Compression,50,6,aHash,0,100.0
faces,0,Compression_50,Compression,50,6,dHash,0,100.0
faces,0,Compression_50,Compression,50,8,aHash,0,100.0
faces,0,Compression_50,Compression,50,8,dHash,1,98.4375
faces,0,Compression_50,Compression,50,12,aHash,0,100.0
faces,0,Compression_50,Compression,50,12,dHash,1,99.30555555555556
faces,0,Compression_50,Compression,50,16,aHash,1,99.609375
faces,0,Compression_50,Compression,50,16,dHash,2,99.21875
faces,0,Compression_50,Compression,50,24,aHash,0,100.0
faces,0,Compression_50,Compression,50,24,dHash,8,98.61111111111111
faces,0,Compression_50,Compression,50,32,aHash,0,100.0
faces,0,Compression_50,Compression,50,32,dHash,21,97.94921875
faces,0,Compression_25,Compression,25,4,aHash,0,100.0
faces,0,Compression_25,Compression,25,4,dHash,0,100.0
faces,0,Compression_25,Compression,25,6,aHash,0,100.0
faces,0,Compression_25,Compression,25,6,dHash,0,100.0
faces,0,Compression_25,Compression,25,8,aHash,0,100.0
faces,0,Compression_25,Compression,25,8,dHash,1,98.4375
faces,0,Compression_25,Compression,25,12,aHash,0,100.0
faces,0,Compression_25,Compression,25,12,dHash,2,98.61111111111111
faces,0,Compression_25,Compression,25,16,aHash,0,100.0
faces,0,Compression_25,Compression,25,16,dHash,4,98.4375
