Categorie,Image_ID,Attaque_Complete,Type_Attaque,Intensite,Algorithme,Param_hash_size,Param_mode,Distance_Hamming,Similarite_Pct
faces,0,Original,Original,0,wHash,4,haar,0,100.0
faces,0,Original,Original,0,wHash,4,db4,0,100.0
faces,0,Original,Original,0,wHash,4,sym5,0,100.0
faces,0,Original,Original,0,wHash,4,coif1,0,100.0
faces,0,Original,Original,0,wHash,8,haar,0,100.0
faces,0,Original,Original,0,wHash,8,db4,0,100.0
faces,0,Original,Original,0,wHash,8,sym5,0,100.0
faces,0,Original,Original,0,wHash,8,coif1,0,100.0
faces,0,Original,Original,0,wHash,16,haar,0,100.0
faces,0,Original,Original,0,wHash,16,db4,0,100.0
faces,0,Original,Original,0,wHash,16,sym5,0,100.0
faces,0,Original,Original,0,wHash,16,coif1,0,100.0
faces,0,Original,Original,0,wHash,32,haar,0,100.0
faces,0,Original,Original,0,wHash,32,db4,0,100.0
faces,0,Original,Original,0,wHash,32,sym5,0,100.0
faces,0,Original,Original,0,wHash,32,coif1,0,100.0
faces,0,Compression_90,Compression,90,wHash,4,haar,0,100.0
faces,0,Compression_90,Compression,90,wHash,4,db4,2,98.0
faces,0,Compression_90,Compression,90,wHash,4,sym5,0,100.0
faces,0,Compression_90,Compression,90,wHash,4,coif1,0,100.0
faces,0,Compression_90,Compression,90,wHash,8,haar,0,100.0
faces,0,Compression_90,Compression,90,wHash,8,db4,0,100.0
faces,0,Compression_90,Compression,90,wHash,8,sym5,0,100.0
faces,0,Compression_90,Compression,90,wHash,8,coif1,0,100.0
faces,0,Compression_90,Compression,90,wHash,16,haar,0,100.0
faces,0,Compression_90,Compression,90,wHash,16,db4,0,100.0
faces,0,Compression_90,Compression,90,wHash,16,sym5,0,100.0
faces,0,Compression_90,Compression,90,wHash,16,coif1,0,100.0
faces,0,Compression_90,Compression,90,wHash,32,haar,0,100.0
faces,0,Compression_90,Compression,90,wHash,32,db4,0,100.0
faces,0,Compression_90,Compression,90,wHash,32,sym5,2,99.86850756081526
faces,0,Compression_90,Compression,90,wHash,32,coif1,0,100.0
faces,0,Compression_75,Compression,75,wHash,4,haar,0,100.0
faces,0,Compression_75,Compression,75,wHash,4,db4,2,98.0
faces,0,Compression_75,Compression,75,wHash,4,sym5,0,100.0
faces,0,Compression_75,Compression,75,wHash,4,coif1,0,100.0
faces,0,Compression_75,Compression,75,wHash,8,haar,0,100.0
faces,0,Compression_75,Compression,75,wHash,8,db4,2,98.9795918367347
faces,0,Compression_75,Compression,75,wHash,8,sym5,0,100.0
faces,0,Compression_75,Compression,75,wHash,8,coif1,0,100.0
faces,0,Compression_75,Compression,75,wHash,16,haar,0,100.0
faces,0,Compression_75,Compression,75,wHash,16,db4,0,100.0
faces,0,Compression_75,Compression,75,wHash,16,sym5,0,100.0
faces,0,Compression_75,Compression,75,wHash,16,coif1,0,100.0
faces,0,Compression_75,Compression,75,wHash,32,haar,0,100.0
faces,0,Compression_75,Compression,75,wHash,32,db4,2,99.86149584487535
faces,0,Compression_75,Compression,75,wHash,32,sym5,2,99.86850756081526
faces,0,Compression_75,Compression,75,wHash,32,coif1,4,99.69135802469135
faces,0,Compression_50,Compression,50,wHash,4,haar,0,100.0
faces,0,Compression_50,Compression,50,wHash,4,db4,2,98.0
faces,0,Compression_50,Compression,50,wHash,4,sym5,0,100.0
faces,0,Compression_50,Compression,50,wHash,4,coif1,0,100.0
faces,0,Compression_50,Compression,50,wHash,8,haar,0,100.0
faces,0,Compression_50,Compression,50,wHash,8,db4,2,98.9795918367347
faces,0,Compression_50,Compression,50,wHash,8,sym5,0,100.0
faces,0,Compression_50,Compression,50,wHash,8,coif1,0,100.0
faces,0,Compression_50,Compression,50,wHash,16,haar,0,100.0
faces,0,Compression_50,Compression,50,wHash,16,db4,0,100.0
faces,0,Compression_50,Compression,50,wHash,16,sym5,0,100.0
faces,0,Compression_50,Compression,50,wHash,16,coif1,0,100.0
faces,0,Compression_50,Compression,50,wHash,32,haar,4,99.609375
faces,0,Compression_50,Compression,50,wHash,32,db4,2,99.86149584487535
faces,0,Compression_50,Compression,50,wHash,32,sym5,2,99.86850756081526
faces,0,Compression_50,Compression,50,wHash,32,coif1,4,99.69135802469135
faces,0,Compression_25,Compression,25,wHash,4,haar,0,100.0
faces,0,Compression_25,Compression,25,wHash,4,db4,4,96.0
faces,0,Compression_25,Compression,25,wHash,4,sym5,2,98.61111111111111
faces,0,Compression_25,Compression,25,wHash,4,coif1,0,100.0
faces,0,Compression_25,Compression,25,wHash,8,haar,0,100.0
faces,0,Compression_25,Compression,25,wHash,8,db4,2,98.9795918367347
faces,0,Compression_25,Compression,25,wHash,8,sym5,0,100.0
faces,0,Compression_25,Compression,25,wHash,8,coif1,0,100.0
faces,0,Compression_25,Compression,25,wHash,16,haar,0,100.0
faces,0,Compression_25,Compression,25,wHash,16,db4,2,99.58677685950413
faces,0,Compression_25,Compression,25,wHash,16,sym5,0,100.0
faces,0,Compression_25,Compression,25,wHash,16,coif1,0,100.0
faces,0,Compression_25,Compression,25,wHash,32,haar,6,99.4140625
faces,0,Compression_25,Compression,25,wHash,32,db4,4,99.7229916897507
faces,0,Compression_25,Compression,25,wHash,32,sym5,6,99.60552268244577
faces,0,Compression_25,Compression,25,wHash,32,coif1,10,99.22839506172839
faces,0,Compression_10,Compression,10,wHash,4,haar,0,100.0
faces,0,Compression_10,Compression,10,wHash,4,db4,8,92.0
faces,0,Compression_10,Compression,10,wHash,4,sym5,8,94.44444444444444
faces,0,Compression_10,Compression,10,wHash,4,coif1,4,93.75
faces,0,Compression_10,Compression,10,wHash,8,haar,0,100.0
faces,0,Compression_10,Compression,10,wHash,8,db4,10,94.89795918367346
faces,0,Compression_10,Compression,10,wHash,8,sym5,2,99.21875
faces,0,Compression_10,Compression,10,wHash,8,coif1,0,100.0
faces,0,Compression_10,Compression,10,wHash,16,haar,2,99.21875
faces,0,Compression_10,Compression,10,wHash,16,db4,18,96.28099173553719
faces,0,Compression_10,Compression,10,wHash,16,sym5,2,99.65277777777777
faces,0,Compression_10,Compression,10,wHash,16,coif1,0,100.0
faces,0,Compression_10,Compression,10,wHash,32,haar,12,98.828125
faces,0,Compression_10,Compression,10,wHash,32,db4,20,98.61495844875347
faces,0,Compression_10,Compression,10,wHash,32,sym5,16,98.94806048652202
faces,0,Compression_10,Compression,10,wHash,32,coif1,14,98.91975308641975
faces,0,Resize_50,Resize,50,wHash,4,haar,0,100.0
faces,0,Resize_50,Resize,50,wHash,4,db4,16,84.0
faces,0,Resize_50,Resize,50,wHash,4,sym5,4,97.22222222222223
faces,0,Resize_50,Resize,50,wHash,4,coif1,0,100.0
faces,0,Resize_50,Resize,50,wHash,8,haar,0,100.0
faces,0,Resize_50,Resize,50,wHash,8,db4,30,84.6938775510204
